"LINEID","PLANVERSIONID","SHORTNAME","DESCRIPTION","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
3123,241,A12C,Meléndez - Estación Capri,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3411,241,A41A,Pizamos-Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
551,241,R51,SUR RESERVA,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3142,241,A14B,La Vorágine - Estación Universidades-,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3173,241,A17C,Comfenalco Lili - Estación  Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3781,241,A78A,Los Chorros - Estación Caldas,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
302,241,A02,Atenas - Zoológico - Estación San Bosco,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3172,241,A17B,Hormiguero - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
318,241,A18,Hacienda El Castillo - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
323,241,A23,Ciudadela Los Álamos-Terminal Menga,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
347,241,A47,Pizamos - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
375,241,A75,La Sirena-Terminal Cañaveralejo,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
557,241,R57,CAÑAVERALEJO RESERVA,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
722,241,U22,Prueba u22,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
355,241,A55,Compartir - Manuela Beltrán-Estación Nuevo Latír,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2521,241,P52A,Amanecer -Terminal Calipso - Av. de las Américas,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
357,241,A57,Villa Luz - Estación Nuevo Latír,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
352,241,A52,Hospital Isaias Duarte Cancino - Estación Nuevo La,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
437,241,E37,Terminal Paso del Comercio - Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
553,241,R53,RESERVA PASO DEL COMERCIO,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
555,241,R55,CALIPSO RESERVA,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2243,241,P24C,Terminal Menga-Terminal Andrés Sanín-Decepaz,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3422,241,A42B,La Casona - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3722,241,A72B,El Cortíjo - Terminal Cañaveralejo,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
431,241,E31,Terminal Paso del Comercio - Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
452,241,E52,Estación Nuevo Latír - Terminal Calipso - Terminal,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
283,241,P83,Terminal Calipso - Terminal Paso de Comercio,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
272,241,P72,Estación Capri- Centro Empresa,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2101,241,P10A,Estación Universidades - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2402,241,P40B,Terminal Andrés Sanín -Sena-Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3452,241,A45B,San Marino - Estación Villacolombia,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
651,241,D51,Alimentadora Desvio Av. Ciudad de Cali,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2842,241,P84B,Terminal Andrés Sanín - Terminal Calipso,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1571,241,T57A,Estación Nuevo Latír - Estación Unidad Deportiva,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3132,241,A13B,Vegas de Comfandi - Caney,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2211,241,P21A,Universidades - Centro - Av Las Américas,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2212,241,P21B,Terminal Menga - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2241,241,P24A,Terminal Menga- Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2242,241,P24B,C.A.M.  - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2273,241,P27C,Terminal Menga - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2274,241,P27D,Terminal Menga - Estación Capri,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
385,241,A85,Estación Santa Mónica - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3721,241,A72A,Jardines De La Aurora - Terminal  Cañaveralejo,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
306,241,A06,Aguacatal - Estación San Bosco,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
321,241,A21,Ciudadela Floralia - Terminal Menga,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3441,241,A44A,Manuela Beltrán - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3442,241,A44B,Puertas Del sol - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
370,241,A70,Mortiñal - Estación Tequendama,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
324,241,A24,San Miguel - El Bosque - Estación Vipasa,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
305,241,A05,Av. De Las Américas - C.A.M - La Portada,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3131,241,A13A,Caney - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3133,241,A13C,Lili - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
353,241,A53,Estación Amanecer - Los Lagos -Terminal Andrés San,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
377,241,A77,Ciudad 2000 - Estación Refugio,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2401,241,P40A,Terminal Andrés Sanín - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
271,241,P71,Caney - Estación Unidad Deportiva,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2104,241,P10D,Estación Universidades - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
336,241,A36,Guayacanes - Estación Chiminangos,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2121,241,P12A,Est. Universidades - Est Nuevo Latír - T. A Sanín ,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
4272,241,E27B,Estación Av Las Américas - Estación Unidad Deporti,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3124,241,A12D,Altos De Santa Elena - Estación Meléndez,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
371,241,A71,Los Chorros - Terminal Cañaveralejo,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2141,241,P14A,Estación Universidades - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3171,241,A17A,U.A.O - U. San Martín - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
282,241,P82,Terminal Calipso - Terminal Menga,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2801,241,P80A,Terminal Calipso - Santa Elena - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
311,241,A11,Icesi - P.U.J - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2473,241,P47C,Terminal Andrés Sanín - Estación Capri,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
441,241,E41,Terminal Andrés Sanín - Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
150,241,T50,Estación Nuevo Latír - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3121,241,A12A,Altos De La Luisa - Meléndez - Capri,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3122,241,A12B,Las Palmas - Estación Meléndez,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3191,241,A19A,Comfandi Pance - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3192,241,A19B,La Buitrera - Estación Buitrera,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
142,241,T42,Pizamos - Centro - Terminal,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
251,241,P51,Pízamos - Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3351,241,A35A,Calimio Norte - Terminal Paso del Comercio,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2524,241,P52D,Ciudad Cordoba - Centro - Terminal,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3372,241,A37B,Sena - Estación Flora Industrial,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3141,241,A14A,U.S.B - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3371,241,A37A,Sena - Estación Salomia,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
427,241,E27,Terminal Menga - Estación Capri,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
217,241,P17,P.U.J - Icesi - Estación Unidad Deportiva,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3112,241,A11B,Universidad Libre - Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3413,241,A41C,Valle Grande - Terminal Andrés Sanín,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2841,241,P84A,Terminal Calipso - Terminal Andres Sanin,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
