"LINESTOPID","STOPSEQUENCE","ORIENTATION","LINEID","STOPID","PLANVERSIONID","LINEVARIANT","REGISTERDATE","LINEVARIANTTYPE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
1452655,49,0,251,514035,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452656,50,0,251,514036,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452657,51,0,251,514246,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452658,1,0,271,501855,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452659,2,0,271,501900,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452660,3,0,271,517006,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452661,4,0,271,517213,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452662,5,0,271,511316,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452663,6,0,271,511312,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452664,7,0,271,511310,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452665,8,0,271,516231,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452666,9,0,271,516232,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452667,10,0,271,516167,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452668,11,0,271,516251,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452669,12,0,271,516252,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452670,13,0,271,511424,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452671,14,0,271,511425,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452672,15,0,271,511426,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452673,16,0,271,511242,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452674,17,0,271,511427,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452675,18,0,271,511428,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452676,19,0,271,511098,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452677,1,1,271,511098,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452678,2,1,271,511099,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452679,3,1,271,511468,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452680,4,1,271,511090,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452681,5,1,271,511106,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452682,6,1,271,511469,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452683,7,1,271,511489,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452684,8,1,271,511490,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452685,9,1,271,511491,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452686,10,1,271,511230,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452687,11,1,271,511416,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452688,12,1,271,511417,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452689,13,1,271,511484,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452690,14,1,271,511408,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452691,15,1,271,511100,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452692,16,1,271,511223,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452693,17,1,271,511319,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452694,18,1,271,511321,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452695,19,1,271,511323,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452696,20,1,271,511419,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452697,21,1,271,511420,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452698,22,1,271,511421,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452699,23,1,271,511422,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452700,24,1,271,511423,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452701,25,1,271,511109,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452702,26,1,271,516184,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452703,27,1,271,516250,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452704,28,1,271,516146,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452705,29,1,271,516128,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452706,30,1,271,511309,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452707,31,1,271,511311,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452708,32,1,271,511313,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452709,33,1,271,511315,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452710,34,1,271,517212,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452711,35,1,271,516233,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452712,36,1,271,517178,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452713,37,1,271,501901,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452714,38,1,271,501851,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452715,1,1,271,501851,241,4,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452716,2,1,271,601851,241,4,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452717,3,1,271,601855,241,4,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452718,4,1,271,501855,241,4,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452719,1,1,271,501851,241,5,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452720,2,1,271,601851,241,5,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452721,3,1,271,600050,241,5,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452722,4,1,271,500050,241,5,2018-05-14 22:55:32.000,3,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452723,1,1,271,511098,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452724,2,1,271,511099,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452725,3,1,271,511468,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452726,4,1,271,511090,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452727,5,1,271,511106,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452728,6,1,271,511469,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452729,7,1,271,511489,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452730,8,1,271,511490,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452731,9,1,271,511491,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452732,10,1,271,511230,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452733,11,1,271,511416,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452734,12,1,271,511417,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452735,13,1,271,511484,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452736,14,1,271,511408,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452737,15,1,271,511100,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452738,16,1,271,511223,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452739,17,1,271,511319,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452740,18,1,271,511321,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452741,19,1,271,511323,241,7,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452742,1,1,272,502100,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452743,2,1,272,511235,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452744,3,1,272,511243,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452745,4,1,272,516254,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452746,5,1,272,516052,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452747,6,1,272,516054,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452748,7,1,272,516177,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452749,8,1,272,516056,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452750,9,1,272,516058,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452751,10,1,272,516060,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452752,11,1,272,516062,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452753,12,1,272,516064,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452754,13,1,272,516065,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452755,14,1,272,516067,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452756,15,1,272,516070,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452757,16,1,272,516072,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452758,17,1,272,516074,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452759,18,1,272,516076,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452760,19,1,272,516079,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452761,20,1,272,519022,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452762,21,1,272,519290,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452763,22,1,272,519026,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452764,23,1,272,501405,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452765,24,1,272,501452,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452766,25,1,272,501502,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452767,26,1,272,501552,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452768,27,1,272,500603,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452769,28,1,272,502401,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452770,29,1,272,512206,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452771,30,1,272,512021,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452772,31,1,272,512054,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452773,32,1,272,512055,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452774,33,1,272,513016,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452775,34,1,272,513270,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452776,35,1,272,512040,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452777,36,1,272,512207,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452778,37,1,272,512123,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452779,38,1,272,513264,241,2,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452780,1,0,272,513264,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452781,2,0,272,513263,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452782,3,0,272,512117,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452783,4,0,272,513267,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452784,5,0,272,513269,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452785,6,0,272,513015,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452786,7,0,272,512037,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452787,8,0,272,512056,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452788,9,0,272,512195,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452789,10,0,272,512057,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452790,11,0,272,502400,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452791,12,0,272,500600,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452792,13,0,272,500800,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452793,14,0,272,500900,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452794,15,0,272,500952,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452795,16,0,272,519025,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452796,17,0,272,519142,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452797,18,0,272,519021,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452798,19,0,272,516078,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452799,20,0,272,516235,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452800,21,0,272,516077,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452801,22,0,272,516073,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452802,23,0,272,516071,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452803,24,0,272,516069,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452804,25,0,272,516068,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452805,26,0,272,516066,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455301,22,1,2121,500202,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455302,23,1,2121,513040,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455303,24,1,2121,513211,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455304,25,1,2121,513032,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455305,26,1,2121,513251,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455306,27,1,2121,513253,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455307,28,1,2121,513257,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455308,29,1,2121,512003,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455309,30,1,2121,513259,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455310,31,1,2121,513261,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455311,32,1,2121,512017,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455312,33,1,2121,512209,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455313,34,1,2121,512018,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455314,35,1,2121,513262,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455315,36,1,2121,513260,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455316,37,1,2121,512004,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455317,38,1,2121,512200,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455318,39,1,2121,513258,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455319,40,1,2121,500100,241,16,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455320,1,1,2121,500202,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455321,2,1,2121,513040,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455322,3,1,2121,513211,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455323,4,1,2121,513032,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455324,5,1,2121,513251,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455325,6,1,2121,513253,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455326,7,1,2121,513257,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455327,8,1,2121,512003,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455328,9,1,2121,513259,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455329,10,1,2121,513261,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455330,11,1,2121,512017,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455331,12,1,2121,512209,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455332,13,1,2121,512018,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455333,14,1,2121,513262,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455334,15,1,2121,513260,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455335,16,1,2121,512004,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455336,17,1,2121,512200,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455337,18,1,2121,513258,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455338,19,1,2121,500100,241,20,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455339,1,1,2121,515144,241,22,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455340,2,1,2121,515145,241,22,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455341,3,1,2121,516089,241,22,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1455342,4,1,2121,515161,241,22,2018-05-14 22:55:38.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
